id_curriculo	categoria	aceitando_email	saiu_do_ifg
595	tecnico_administrativo	True	True
859	docente	True	False
1711	tecnico_administrativo	True	False
1123	docente	True	False
1302	docente	True	False
253	tecnico_administrativo	True	False
420	tecnico_administrativo	True	False
880	docente	True	False
551	tecnico_administrativo	True	True
1825	docente	True	False
400	tecnico_administrativo	True	False
893	docente	True	False
1316	tecnico_administrativo	True	False
1531	tecnico_administrativo	True	False
436	tecnico_administrativo	True	True
1799	docente	True	False
1394	tecnico_administrativo	True	True
912	tecnico_administrativo	True	True
1157	tecnico_administrativo	True	False
618	docente	True	False
1461	docente	True	False
2146	tecnico_administrativo	True	False
1596	docente	True	False
185	tecnico_administrativo	True	True
1088	tecnico_administrativo	True	False
1794	docente	True	False
1727	tecnico_administrativo	True	False
130	docente	True	False
1437	docente	True	False
744	docente	True	False
1224	tecnico_administrativo	True	True
1545	tecnico_administrativo	True	False
1659	tecnico_administrativo	True	False
96	docente	True	False
565	docente	True	False
756	tecnico_administrativo	True	False
1024	tecnico_administrativo	True	False
584	tecnico_administrativo	True	False
808	docente	True	False
996	docente	True	True
1546	tecnico_administrativo	True	False
1475	docente	True	False
409	docente	True	False
1344	docente	True	True
2107	docente	True	False
54	docente	True	False
206	docente	True	False
31	docente	True	False
1443	tecnico_administrativo	True	True
1577	tecnico_administrativo	True	False
1790	tecnico_administrativo	True	False
994	docente	True	False
2083	tecnico_administrativo	True	False
602	docente	True	False
338	docente	True	False
1153	tecnico_administrativo	True	False
2100	tecnico_administrativo	True	False
1405	tecnico_administrativo	True	True
327	docente	True	False
1998	tecnico_administrativo	True	True
484	docente	True	False
1041	docente	True	False
452	docente	True	False
87	docente	True	False
1722	docente	True	False
2145	docente	True	False
1673	docente	True	True
926	docente	True	False
886	docente	True	False
1474	docente	True	False
972	tecnico_administrativo	True	True
1366	tecnico_administrativo	True	False
620	tecnico_administrativo	True	True
903	docente	True	False
2219	docente	True	False
1820	tecnico_administrativo	True	True
2077	docente	True	False
1120	docente	True	False
195	docente	True	False
2183	tecnico_administrativo	True	True
2007	tecnico_administrativo	True	False
1847	tecnico_administrativo	True	False
269	docente	True	False
1757	docente	True	True
2161	docente	True	False
544	docente	True	False
998	docente	True	True
