id_nota_rec	nota	id_curriculo_id	id_producao_id
302	5.0	1356	15733.0
303	5.0	1356	15734.0
304	5.0	1356	15735.0
307	5.0	156	1793.0
321	5.0	813	9078.0
322	5.0	813	9079.0
323	5.0	813	9080.0
334	5.0	898	10263.0
337	5.0	1748	21572.0
376	5.0	881	9684.0
377	5.0	881	9685.0
394	5.0	1787	22012.0
402	5.0	501	23021.0
410	5.0	81	969.0
411	5.0	81	970.0
420	5.0	1163	13518.0
423	5.0	1108	12808.0
430	5.0	653	22867.0
431	5.0	653	22866.0
432	5.0	653	7263.0
433	5.0	653	7267.0
434	5.0	653	7271.0
436	5.0	653	7258.0
438	5.0	653	7260.0
439	5.0	653	7261.0
440	5.0	653	7262.0
441	5.0	653	7264.0
442	5.0	653	7265.0
443	5.0	653	7266.0
444	5.0	653	7268.0
445	5.0	653	7269.0
446	5.0	653	7270.0
447	5.0	653	7272.0
448	5.0	653	7273.0
449	5.0	653	7274.0
450	5.0	653	7275.0
451	5.0	653	7276.0
452	5.0	653	7277.0
453	5.0	653	7278.0
454	5.0	653	7279.0
455	5.0	653	7280.0
483	5.0	597	22948.0
484	5.0	597	6822.0
487	5.0	597	6823.0
493	5.0	1115	12877.0
494	5.0	1115	12872.0
495	5.0	1115	12873.0
496	5.0	1115	12874.0
497	5.0	1115	12875.0
498	5.0	1115	12876.0
499	5.0	1115	12878.0
500	5.0	1115	12879.0
501	5.0	1115	12880.0
502	5.0	1115	12881.0
514	5.0	242	2646.0
516	5.0	242	2645.0
520	5.0	1403	16379.0
527	5.0	1472	17394.0
528	5.0	1472	17395.0
529	5.0	1472	17396.0
530	5.0	1472	17397.0
532	5.0	1596	23015.0
533	5.0	1596	23014.0
534	5.0	1596	23013.0
535	5.0	1596	19486.0
536	5.0	1596	19485.0
537	5.0	1596	19487.0
538	5.0	1596	19488.0
539	5.0	1596	19489.0
540	5.0	1596	19490.0
541	5.0	1596	19491.0
542	5.0	1596	19492.0
570	5.0	265	2953.0
571	5.0	265	2951.0
572	5.0	265	2952.0
575	5.0	365	3933.0
576	5.0	365	3934.0
577	5.0	365	3935.0
585	5.0	529	6052.0
586	5.0	529	6049.0
608	5.0	324	3555.0
609	5.0	324	3551.0
610	5.0	324	3550.0
611	5.0	324	3552.0
612	5.0	324	3553.0
613	5.0	324	3554.0
614	5.0	324	3556.0
615	5.0	324	3557.0
616	5.0	324	3558.0
617	5.0	324	3559.0
618	5.0	324	3560.0
619	5.0	324	3561.0
620	5.0	324	3562.0
622	5.0	1649	19962.0
623	5.0	1649	19963.0
629	5.0	738	8034.0
630	5.0	738	8035.0
635	5.0	1082	12491.0
636	5.0	1082	12490.0
637	5.0	1082	12492.0
638	5.0	1082	12493.0
659	5.0	752	8236.0
660	5.0	752	8237.0
661	5.0	752	8238.0
662	5.0	752	8239.0
663	5.0	752	8240.0
664	5.0	752	8241.0
665	5.0	752	8242.0
674	5.0	1818	22757.0
677	5.0	325	3583.0
678	5.0	325	3579.0
679	5.0	325	3580.0
680	5.0	325	3581.0
681	5.0	325	3582.0
688	5.0	640	7090.0
689	5.0	640	7091.0
690	5.0	640	7092.0
691	5.0	640	7093.0
777	5.0	210	2365.0
779	5.0	210	2367.0
780	5.0	210	2368.0
791	5.0	992	11267.0
792	5.0	992	11268.0
793	5.0	992	11266.0
799	5.0	356	3847.0
800	5.0	356	3846.0
801	5.0	356	3848.0
813	5.0	240	2574.0
814	5.0	240	2575.0
815	5.0	240	2576.0
816	5.0	240	2577.0
818	5.0	240	2579.0
819	5.0	240	2580.0
824	5.0	258	2858.0
825	5.0	258	2857.0
831	5.0	1312	15242.0
832	5.0	1312	15243.0
834	5.0	1728	21238.0
835	5.0	1728	21239.0
836	5.0	1728	21240.0
837	5.0	1728	21241.0
838	5.0	1728	21242.0
839	5.0	1728	21243.0
840	5.0	1728	21244.0
841	5.0	1728	21245.0
842	5.0	1728	21246.0
843	5.0	1728	21247.0
844	5.0	1728	21248.0
851	5.0	394	4219.0
854	5.0	987	11236.0
855	5.0	987	11237.0
856	5.0	987	11238.0
857	5.0	987	11239.0
885	5.0	142	1572.0
886	5.0	142	1573.0
887	5.0	142	1574.0
891	5.0	1755	21615.0
893	5.0	1755	21617.0
894	5.0	1325	15449.0
899	5.0	412	4411.0
900	5.0	412	4412.0
901	5.0	412	4413.0
902	5.0	412	4414.0
905	5.0	413	4417.0
906	5.0	1776	21873.0
907	5.0	1776	21872.0
908	5.0	1776	21874.0
909	5.0	1776	21875.0
910	5.0	1776	21876.0
911	5.0	1776	21877.0
912	5.0	1776	21878.0
913	5.0	1776	21879.0
914	5.0	1776	21880.0
921	5.0	426	4668.0
922	5.0	426	4669.0
923	5.0	426	4670.0
925	5.0	368	4026.0
926	5.0	83	972.0
927	5.0	83	973.0
932	5.0	1734	21391.0
933	5.0	1734	21390.0
934	5.0	1734	21392.0
942	5.0	564	6437.0
943	5.0	564	6441.0
944	5.0	564	6442.0
945	5.0	564	6435.0
946	5.0	564	6436.0
947	5.0	564	6438.0
948	5.0	564	6439.0
949	5.0	564	6440.0
950	5.0	564	6443.0
951	5.0	564	6444.0
952	5.0	564	6445.0
953	5.0	564	6446.0
983	5.0	1378	16015.0
985	5.0	1378	16017.0
993	5.0	176	1935.0
994	5.0	176	1936.0
995	5.0	176	1937.0
996	5.0	176	1938.0
1006	5.0	132	1443.0
1008	5.0	132	1444.0
1014	5.0	309	3363.0
1015	5.0	309	3357.0
1016	5.0	309	3358.0
1017	5.0	309	3359.0
1018	5.0	309	3360.0
1019	5.0	309	3361.0
1020	5.0	309	3362.0
1021	5.0	309	3364.0
1022	5.0	309	3365.0
1023	5.0	309	3366.0
1024	5.0	309	3367.0
1027	5.0	499	5434.0
1034	5.0	137	1482.0
1035	5.0	137	1483.0
1036	5.0	137	1484.0
1037	5.0	137	1485.0
1042	5.0	515	5761.0
1046	5.0	1100	12718.0
1047	5.0	1100	12717.0
1048	5.0	1100	12719.0
1049	5.0	1100	12720.0
1060	5.0	1180	13843.0
1065	5.0	1180	13848.0
1067	5.0	1180	13850.0
1068	5.0	1180	13851.0
1070	5.0	1180	13854.0
1080	5.0	1354	15702.0
1081	5.0	1354	15703.0
1082	5.0	1354	15704.0
1083	5.0	1354	15705.0
1084	5.0	1165	13527.0
1085	5.0	1165	13526.0
1086	5.0	1165	13520.0
1087	5.0	1165	13521.0
1088	5.0	1165	13522.0
1089	5.0	1165	13523.0
1090	5.0	1165	13524.0
1091	5.0	1165	13525.0
1092	5.0	1165	13528.0
1093	5.0	1165	13529.0
1101	5.0	557	6406.0
1102	5.0	556	6399.0
1103	5.0	556	6398.0
1105	5.0	1673	20292.0
1106	5.0	1673	20273.0
1107	5.0	1673	20274.0
1115	5.0	1673	20282.0
1116	5.0	1673	20283.0
1117	5.0	1673	20284.0
1118	5.0	1673	20285.0
1120	5.0	1673	20287.0
1121	5.0	1673	20288.0
1122	5.0	1673	20289.0
1123	5.0	1673	20290.0
1124	5.0	1673	20291.0
1125	5.0	1673	20293.0
1141	5.0	1811	22591.0
1142	5.0	1811	22592.0
1143	5.0	1811	22593.0
1144	5.0	1811	22594.0
1145	5.0	1811	22595.0
1146	5.0	1811	22596.0
1147	5.0	1811	22597.0
1148	5.0	1811	22598.0
1149	5.0	1811	22599.0
1150	5.0	1811	22600.0
1151	5.0	1811	22601.0
1152	5.0	1811	22602.0
1153	5.0	1811	22603.0
1154	5.0	1811	22604.0
1155	5.0	1811	22605.0
1156	5.0	1811	22606.0
